repo,issue_number,issue_title,issue_created_at,issue_closed_at,resolution_days,resolution_hours,resolution_minutes
deepset-ai/haystack,7012,RecentnessRanker,2024-02-16 10:44:54,2024-02-16 10:45:47,0.0006134259259259259,0.014722222222222222,0.8833333333333333
deepset-ai/haystack,7367,DiversityRanker,2024-03-15 08:03:27,2024-03-15 08:05:31,0.0014351851851851852,0.034444444444444444,2.066666666666667
run-llama/llama_index,17037,[Bug]: ValueError when using Ollama,2024-11-22 16:41:22,2024-11-22 16:45:50,0.0031018518518518517,0.07444444444444444,4.466666666666667
langchain-ai/langchain,28989,SlackToolkit Problem - sample code does not work,2025-01-02 16:09:33,2025-01-02 16:14:18,0.003298611111111111,0.07916666666666666,4.75
langchain-ai/langchain,13539,New update broke embeddings models,2023-11-17 21:47:33,2023-11-17 21:52:59,0.0037731481481481483,0.09055555555555556,5.433333333333334
run-llama/llama_index,16538,[Bug]: Initialization of TimescaleVectorStore,2024-10-14 21:14:46,2024-10-14 21:21:31,0.0046875,0.1125,6.75
microsoft/autogen,6165,the installation instruction for autogen-studio had a missing step,2025-04-01 07:36:59,2025-04-01 07:44:51,0.005462962962962963,0.13111111111111112,7.866666666666666
run-llama/llama_index,17983,[Documentation]: llama_index.core.context cannot found,2025-03-03 01:55:40,2025-03-03 02:05:03,0.006516203703703704,0.15638888888888888,9.383333333333333
run-llama/llama_index,13333,[Question]: Why model `gpt-4-1106-vision-preview`  is not present?,2024-05-07 17:17:37,2024-05-07 17:27:02,0.006539351851851852,0.15694444444444444,9.416666666666666
run-llama/llama_index,15609,Resolve all remaining `__private_var__` pydantic v2 errors in integrations and packs,2024-08-24 00:16:59,2024-08-24 00:26:36,0.006678240740740741,0.16027777777777777,9.616666666666667
run-llama/llama_index,13635,[Documentation]: upstage integration typos,2024-05-22 02:11:56,2024-05-22 02:21:36,0.006712962962962963,0.16111111111111112,9.666666666666666
microsoft/semantic-kernel,2131,.Net: explose CancellationToken param on ALL -Async calls (do not rely on it being in SKContext),2023-07-21 21:42:58,2023-07-21 21:53:01,0.0069791666666666665,0.1675,10.05
microsoft/semantic-kernel,10950,.Net: Fix CodeQL Errors,2025-03-13 07:15:10,2025-03-13 07:26:04,0.007569444444444445,0.18166666666666667,10.9
microsoft/autogen,4127,AgentChat show handoff message termination for asking user input,2024-11-11 05:27:38,2024-11-11 05:38:53,0.0078125,0.1875,11.25
deepset-ai/haystack,5075,`generalimport` v0.5.0 is breaking,2023-06-05 08:16:55,2023-06-05 08:29:53,0.00900462962962963,0.21611111111111111,12.966666666666667
run-llama/llama_index,17841,"[Bug]: llama-index-graph-stores-memgraph still requires llama-index >=0.10.0, <0.11.0",2025-02-17 15:20:59,2025-02-17 15:34:28,0.009363425925925926,0.2247222222222222,13.483333333333333
letta-ai/letta,2077,Pydantic schema error with AsyncGenerator in llama-index integration,2024-11-21 01:48:42,2024-11-21 02:02:18,0.009444444444444445,0.22666666666666666,13.6
microsoft/autogen,1973,[Bug]: LFS problem with conversable-agent.jpg,2024-03-12 18:02:36,2024-03-12 18:16:31,0.009664351851851851,0.23194444444444445,13.916666666666666
